time,agentname,agentamount
0.036751,E,134
0.036751,H,0
0.036751,I,10
0.036751,R,0
0.036751,S,9856
0.052165,E,133
0.052165,H,0
0.052165,I,11
0.052165,R,0
0.052165,S,9856
0.056991,E,132
0.056991,H,0
0.056991,I,12
0.056991,R,0
0.056991,S,9856
0.064482,E,133
0.064482,H,0
0.064482,I,12
0.064482,R,0
0.064482,S,9855
0.128160,E,132
0.128160,H,0
0.128160,I,13
0.128160,R,0
0.128160,S,9855
0.133601,E,131
0.133601,H,0
0.133601,I,14
0.133601,R,0
0.133601,S,9855
0.148102,E,130
0.148102,H,0
0.148102,I,15
0.148102,R,0
0.148102,S,9855
0.183287,E,129
0.183287,H,0
0.183287,I,16
0.183287,R,0
0.183287,S,9855
0.213281,E,128
0.213281,H,0
0.213281,I,17
0.213281,R,0
0.213281,S,9855
0.238927,E,127
0.238927,H,0
0.238927,I,18
0.238927,R,0
0.238927,S,9855
0.261165,E,126
0.261165,H,0
0.261165,I,19
0.261165,R,0
0.261165,S,9855
0.286273,E,125
0.286273,H,0
0.286273,I,20
0.286273,R,0
0.286273,S,9855
0.294667,E,124
0.294667,H,0
0.294667,I,21
0.294667,R,0
0.294667,S,9855
0.326449,E,123
0.326449,H,0
0.326449,I,22
0.326449,R,0
0.326449,S,9855
0.326956,E,122
0.326956,H,0
0.326956,I,23
0.326956,R,0
0.326956,S,9855
0.348602,E,121
0.348602,H,0
0.348602,I,24
0.348602,R,0
0.348602,S,9855
0.372334,E,120
0.372334,H,0
0.372334,I,25
0.372334,R,0
0.372334,S,9855
0.381129,E,119
0.381129,H,0
0.381129,I,26
0.381129,R,0
0.381129,S,9855
0.397136,E,119
0.397136,H,0
0.397136,I,25
0.397136,R,1
0.397136,S,9855
0.430827,E,118
0.430827,H,0
0.430827,I,26
0.430827,R,1
0.430827,S,9855
0.434854,E,117
0.434854,H,0
0.434854,I,27
0.434854,R,1
0.434854,S,9855
0.436085,E,117
0.436085,H,0
0.436085,I,26
0.436085,R,2
0.436085,S,9855
0.441671,E,117
0.441671,H,0
0.441671,I,25
0.441671,R,3
0.441671,S,9855
0.443640,E,118
0.443640,H,0
0.443640,I,25
0.443640,R,3
0.443640,S,9854
0.448125,E,117
0.448125,H,0
0.448125,I,26
0.448125,R,3
0.448125,S,9854
0.506302,E,116
0.506302,H,0
0.506302,I,27
0.506302,R,3
0.506302,S,9854
0.520768,E,117
0.520768,H,0
0.520768,I,27
0.520768,R,3
0.520768,S,9853
0.524728,E,118
0.524728,H,0
0.524728,I,27
0.524728,R,3
0.524728,S,9852
0.531277,E,119
0.531277,H,0
0.531277,I,27
0.531277,R,3
0.531277,S,9851
0.574176,E,118
0.574176,H,0
0.574176,I,28
0.574176,R,3
0.574176,S,9851
0.591010,E,117
0.591010,H,0
0.591010,I,29
0.591010,R,3
0.591010,S,9851
0.598907,E,116
0.598907,H,0
0.598907,I,30
0.598907,R,3
0.598907,S,9851
0.615548,E,115
0.615548,H,0
0.615548,I,31
0.615548,R,3
0.615548,S,9851
0.622997,E,114
0.622997,H,0
0.622997,I,32
0.622997,R,3
0.622997,S,9851
0.639466,E,115
0.639466,H,0
0.639466,I,32
0.639466,R,3
0.639466,S,9850
0.647914,E,116
0.647914,H,0
0.647914,I,32
0.647914,R,3
0.647914,S,9849
0.682394,E,117
0.682394,H,0
0.682394,I,32
0.682394,R,3
0.682394,S,9848
0.682636,E,118
0.682636,H,0
0.682636,I,32
0.682636,R,3
0.682636,S,9847
0.690513,E,118
0.690513,H,0
0.690513,I,31
0.690513,R,4
0.690513,S,9847
0.690928,E,117
0.690928,H,0
0.690928,I,32
0.690928,R,4
0.690928,S,9847
0.709943,E,117
0.709943,H,0
0.709943,I,31
0.709943,R,5
0.709943,S,9847
0.724282,E,118
0.724282,H,0
0.724282,I,31
0.724282,R,5
0.724282,S,9846
0.730518,E,117
0.730518,H,0
0.730518,I,32
0.730518,R,5
0.730518,S,9846
0.754199,E,117
0.754199,H,0
0.754199,I,31
0.754199,R,6
0.754199,S,9846
0.754468,E,116
0.754468,H,0
0.754468,I,32
0.754468,R,6
0.754468,S,9846
0.759378,E,116
0.759378,H,0
0.759378,I,31
0.759378,R,7
0.759378,S,9846
0.781797,E,117
0.781797,H,0
0.781797,I,31
0.781797,R,7
0.781797,S,9845
0.892889,E,117
0.892889,H,0
0.892889,I,30
0.892889,R,8
0.892889,S,9845
0.906565,E,116
0.906565,H,0
0.906565,I,31
0.906565,R,8
0.906565,S,9845
0.912733,E,117
0.912733,H,0
0.912733,I,31
0.912733,R,8
0.912733,S,9844
0.923270,E,116
0.923270,H,0
0.923270,I,32
0.923270,R,8
0.923270,S,9844
0.929208,E,117
0.929208,H,0
0.929208,I,32
0.929208,R,8
0.929208,S,9843
0.956532,E,118
0.956532,H,0
0.956532,I,32
0.956532,R,8
0.956532,S,9842
0.958926,E,119
0.958926,H,0
0.958926,I,32
0.958926,R,8
0.958926,S,9841
0.962806,E,120
0.962806,H,0
0.962806,I,32
0.962806,R,8
0.962806,S,9840
0.978826,E,120
0.978826,H,0
0.978826,I,31
0.978826,R,9
0.978826,S,9840
0.981894,E,119
0.981894,H,0
0.981894,I,32
0.981894,R,9
0.981894,S,9840
0.995933,E,120
0.995933,H,0
0.995933,I,32
0.995933,R,9
0.995933,S,9839
1.000516,E,121
