time,agentname,agentamount
18.075459,A,99
18.075459,B,1
18.075459,C,1
20.840907,A,98
20.840907,B,2
20.840907,C,1
37.812613,A,97
37.812613,B,3
37.812613,C,1
38.004710,A,96
38.004710,B,4
38.004710,C,1
67.102887,A,95
67.102887,B,5
67.102887,C,1
67.874741,A,94
67.874741,B,6
67.874741,C,1
94.874074,A,93
94.874074,B,7
94.874074,C,1
102.581043,A,92
102.581043,B,8
102.581043,C,1
107.097765,A,91
107.097765,B,9
107.097765,C,1
123.495585,A,90
123.495585,B,10
123.495585,C,1
129.640808,A,89
129.640808,B,11
129.640808,C,1
164.750910,A,88
164.750910,B,12
164.750910,C,1
178.791674,A,87
178.791674,B,13
178.791674,C,1
196.004698,A,86
196.004698,B,14
196.004698,C,1
197.425351,A,85
197.425351,B,15
197.425351,C,1
225.071185,A,84
225.071185,B,16
225.071185,C,1
246.043714,A,83
246.043714,B,17
246.043714,C,1
253.859883,A,82
253.859883,B,18
253.859883,C,1
263.675092,A,81
263.675092,B,19
263.675092,C,1
280.892031,A,80
280.892031,B,20
280.892031,C,1
284.593462,A,79
284.593462,B,21
284.593462,C,1
291.682622,A,78
291.682622,B,22
291.682622,C,1
298.226282,A,77
298.226282,B,23
298.226282,C,1
329.001630,A,76
329.001630,B,24
329.001630,C,1
330.710982,A,75
330.710982,B,25
330.710982,C,1
331.915698,A,74
331.915698,B,26
331.915698,C,1
343.265839,A,73
343.265839,B,27
343.265839,C,1
354.748714,A,72
354.748714,B,28
354.748714,C,1
362.540168,A,71
362.540168,B,29
362.540168,C,1
373.660061,A,70
373.660061,B,30
373.660061,C,1
382.912639,A,69
382.912639,B,31
382.912639,C,1
405.480685,A,68
405.480685,B,32
405.480685,C,1
418.956228,A,67
418.956228,B,33
418.956228,C,1
449.015720,A,66
449.015720,B,34
449.015720,C,1
452.071908,A,65
452.071908,B,35
452.071908,C,1
493.927058,A,64
493.927058,B,36
493.927058,C,1
502.635282,A,63
502.635282,B,37
502.635282,C,1
526.638168,A,62
526.638168,B,38
526.638168,C,1
528.184476,A,61
528.184476,B,39
528.184476,C,1
534.960385,A,60
534.960385,B,40
534.960385,C,1
535.039389,A,59
535.039389,B,41
535.039389,C,1
539.671480,A,58
539.671480,B,42
539.671480,C,1
540.566700,A,57
540.566700,B,43
540.566700,C,1
564.930639,A,56
564.930639,B,44
564.930639,C,1
568.006305,A,55
568.006305,B,45
568.006305,C,1
587.271534,A,54
587.271534,B,46
587.271534,C,1
589.399552,A,53
589.399552,B,47
589.399552,C,1
604.316278,A,52
604.316278,B,48
604.316278,C,1
610.266522,A,51
610.266522,B,49
610.266522,C,1
612.265965,A,50
612.265965,B,50
612.265965,C,1
634.101182,A,49
634.101182,B,51
634.101182,C,1
634.703962,A,48
634.703962,B,52
634.703962,C,1
665.215750,A,47
665.215750,B,53
665.215750,C,1
717.456656,A,46
717.456656,B,54
717.456656,C,1
788.811912,A,45
788.811912,B,55
788.811912,C,1
795.495191,A,44
795.495191,B,56
795.495191,C,1
826.092482,A,43
826.092482,B,57
826.092482,C,1
846.356897,A,42
846.356897,B,58
846.356897,C,1
847.661248,A,41
847.661248,B,59
847.661248,C,1
858.076757,A,40
858.076757,B,60
858.076757,C,1
858.963194,A,39
858.963194,B,61
858.963194,C,1
864.471382,A,38
864.471382,B,62
864.471382,C,1
897.509207,A,37
897.509207,B,63
897.509207,C,1
930.122617,A,36
930.122617,B,64
930.122617,C,1
971.787151,A,35
971.787151,B,65
971.787151,C,1
1025.737001,A,34
1025.737001,B,66
1025.737001,C,1
1072.916565,A,33
1072.916565,B,67
1072.916565,C,1
1076.697271,A,32
1076.697271,B,68
1076.697271,C,1
1092.802612,A,31
1092.802612,B,69
1092.802612,C,1
1160.163286,A,30
1160.163286,B,70
1160.163286,C,1
1168.338473,A,29
1168.338473,B,71
1168.338473,C,1
1178.988956,A,28
1178.988956,B,72
1178.988956,C,1
1244.971027,A,27
1244.971027,B,73
1244.971027,C,1
1318.184573,A,26
1318.184573,B,74
1318.184573,C,1
1346.378750,A,25
1346.378750,B,75
1346.378750,C,1
1373.655550,A,24
1373.655550,B,76
1373.655550,C,1
1378.542893,A,23
1378.542893,B,77
1378.542893,C,1
1444.882313,A,22
1444.882313,B,78
1444.882313,C,1
1459.251953,A,21
1459.251953,B,79
1459.251953,C,1
1475.015070,A,20
1475.015070,B,80
1475.015070,C,1
1540.970627,A,19
1540.970627,B,81
1540.970627,C,1
1547.922791,A,18
1547.922791,B,82
1547.922791,C,1
1638.201365,A,17
1638.201365,B,83
1638.201365,C,1
1791.597647,A,16
1791.597647,B,84
1791.597647,C,1
1842.324530,A,15
1842.324530,B,85
1842.324530,C,1
1905.672290,A,14
1905.672290,B,86
1905.672290,C,1
2065.260599,A,13
2065.260599,B,87
2065.260599,C,1
