time,agentname,agentamount
4.918300,A,99
4.918300,B,1
4.918300,C,2
8.108962,A,98
8.108962,B,2
8.108962,C,2
25.638030,A,97
25.638030,B,3
25.638030,C,2
26.307725,A,96
26.307725,B,4
26.307725,C,2
31.101148,A,95
31.101148,B,5
31.101148,C,2
35.781154,A,94
35.781154,B,6
35.781154,C,2
40.966223,A,93
40.966223,B,7
40.966223,C,2
42.916266,A,92
42.916266,B,8
42.916266,C,2
58.864381,A,91
58.864381,B,9
58.864381,C,2
66.486275,A,90
66.486275,B,10
66.486275,C,2
74.077456,A,89
74.077456,B,11
74.077456,C,2
81.502716,A,88
81.502716,B,12
81.502716,C,2
82.015401,A,87
82.015401,B,13
82.015401,C,2
86.889341,A,86
86.889341,B,14
86.889341,C,2
87.299380,A,85
87.299380,B,15
87.299380,C,2
88.410976,A,84
88.410976,B,16
88.410976,C,2
90.866646,A,83
90.866646,B,17
90.866646,C,2
111.674145,A,82
111.674145,B,18
111.674145,C,2
126.707749,A,81
126.707749,B,19
126.707749,C,2
127.890985,A,80
127.890985,B,20
127.890985,C,2
138.404575,A,79
138.404575,B,21
138.404575,C,2
142.867750,A,78
142.867750,B,22
142.867750,C,2
155.349552,A,77
155.349552,B,23
155.349552,C,2
172.928150,A,76
172.928150,B,24
172.928150,C,2
199.132417,A,75
199.132417,B,25
199.132417,C,2
202.857900,A,74
202.857900,B,26
202.857900,C,2
209.122193,A,73
209.122193,B,27
209.122193,C,2
215.867812,A,72
215.867812,B,28
215.867812,C,2
220.512613,A,71
220.512613,B,29
220.512613,C,2
227.396294,A,70
227.396294,B,30
227.396294,C,2
241.291621,A,69
241.291621,B,31
241.291621,C,2
242.673333,A,68
242.673333,B,32
242.673333,C,2
250.528274,A,67
250.528274,B,33
250.528274,C,2
273.579837,A,66
273.579837,B,34
273.579837,C,2
277.271574,A,65
277.271574,B,35
277.271574,C,2
285.739925,A,64
285.739925,B,36
285.739925,C,2
308.584612,A,63
308.584612,B,37
308.584612,C,2
323.877006,A,62
323.877006,B,38
323.877006,C,2
341.628604,A,61
341.628604,B,39
341.628604,C,2
344.759897,A,60
344.759897,B,40
344.759897,C,2
347.731451,A,59
347.731451,B,41
347.731451,C,2
355.385171,A,58
355.385171,B,42
355.385171,C,2
385.159990,A,57
385.159990,B,43
385.159990,C,2
393.813273,A,56
393.813273,B,44
393.813273,C,2
404.267794,A,55
404.267794,B,45
404.267794,C,2
419.556694,A,54
419.556694,B,46
419.556694,C,2
421.319022,A,53
421.319022,B,47
421.319022,C,2
421.515095,A,52
421.515095,B,48
421.515095,C,2
426.052544,A,51
426.052544,B,49
426.052544,C,2
427.042957,A,50
427.042957,B,50
427.042957,C,2
443.710959,A,49
443.710959,B,51
443.710959,C,2
444.860354,A,48
444.860354,B,52
444.860354,C,2
454.194262,A,47
454.194262,B,53
454.194262,C,2
455.403221,A,46
455.403221,B,54
455.403221,C,2
469.815582,A,45
469.815582,B,55
469.815582,C,2
511.701334,A,44
511.701334,B,56
511.701334,C,2
515.945276,A,43
515.945276,B,57
515.945276,C,2
516.419138,A,42
516.419138,B,58
516.419138,C,2
528.294921,A,41
528.294921,B,59
528.294921,C,2
542.609266,A,40
542.609266,B,60
542.609266,C,2
571.527108,A,39
571.527108,B,61
571.527108,C,2
574.010142,A,38
574.010142,B,62
574.010142,C,2
588.893416,A,37
588.893416,B,63
588.893416,C,2
590.954674,A,36
590.954674,B,64
590.954674,C,2
611.290213,A,35
611.290213,B,65
611.290213,C,2
655.431686,A,34
655.431686,B,66
655.431686,C,2
657.716525,A,33
657.716525,B,67
657.716525,C,2
659.078405,A,32
659.078405,B,68
659.078405,C,2
702.957772,A,31
702.957772,B,69
702.957772,C,2
717.721234,A,30
717.721234,B,70
717.721234,C,2
750.542036,A,29
750.542036,B,71
750.542036,C,2
768.774594,A,28
768.774594,B,72
768.774594,C,2
778.709274,A,27
778.709274,B,73
778.709274,C,2
778.881929,A,26
778.881929,B,74
778.881929,C,2
780.049619,A,25
780.049619,B,75
780.049619,C,2
794.881957,A,24
794.881957,B,76
794.881957,C,2
795.777698,A,23
795.777698,B,77
795.777698,C,2
821.435331,A,22
821.435331,B,78
821.435331,C,2
842.593227,A,21
842.593227,B,79
842.593227,C,2
845.401652,A,20
845.401652,B,80
845.401652,C,2
860.189191,A,19
860.189191,B,81
860.189191,C,2
867.124966,A,18
867.124966,B,82
867.124966,C,2
912.027024,A,17
912.027024,B,83
912.027024,C,2
954.232777,A,16
954.232777,B,84
954.232777,C,2
958.630357,A,15
958.630357,B,85
958.630357,C,2
1003.624523,A,14
1003.624523,B,86
1003.624523,C,2
1038.723686,A,13
1038.723686,B,87
1038.723686,C,2
1075.391389,A,12
1075.391389,B,88
1075.391389,C,2
1091.631248,A,11
1091.631248,B,89
1091.631248,C,2
1152.224315,A,10
1152.224315,B,90
1152.224315,C,2
1166.338269,A,9
1166.338269,B,91
1166.338269,C,2
1230.595882,A,8
1230.595882,B,92
1230.595882,C,2
1259.089377,A,7
1259.089377,B,93
1259.089377,C,2
1303.332318,A,6
1303.332318,B,94
1303.332318,C,2
1331.169211,A,5
1331.169211,B,95
1331.169211,C,2
1355.035189,A,4
1355.035189,B,96
1355.035189,C,2
1398.826668,A,3
1398.826668,B,97
1398.826668,C,2
1596.882682,A,2
1596.882682,B,98
1596.882682,C,2
