time,agentname,agentamount
38.366359,A,49
38.366359,B,51
38.366359,C,1
70.813118,A,48
70.813118,B,52
70.813118,C,1
91.770271,A,47
91.770271,B,53
91.770271,C,1
102.846529,A,46
102.846529,B,54
102.846529,C,1
116.752466,A,45
116.752466,B,55
116.752466,C,1
146.823832,A,44
146.823832,B,56
146.823832,C,1
203.941890,A,43
203.941890,B,57
203.941890,C,1
206.126255,A,42
206.126255,B,58
206.126255,C,1
229.212048,A,41
229.212048,B,59
229.212048,C,1
246.133944,A,40
246.133944,B,60
246.133944,C,1
252.812203,A,39
252.812203,B,61
252.812203,C,1
280.572993,A,38
280.572993,B,62
280.572993,C,1
307.245477,A,37
307.245477,B,63
307.245477,C,1
310.801744,A,36
310.801744,B,64
310.801744,C,1
321.853008,A,35
321.853008,B,65
321.853008,C,1
385.485642,A,34
385.485642,B,66
385.485642,C,1
401.054954,A,33
401.054954,B,67
401.054954,C,1
407.713635,A,32
407.713635,B,68
407.713635,C,1
438.946279,A,31
438.946279,B,69
438.946279,C,1
554.159283,A,30
554.159283,B,70
554.159283,C,1
581.415240,A,29
581.415240,B,71
581.415240,C,1
590.681389,A,28
590.681389,B,72
590.681389,C,1
693.889256,A,27
693.889256,B,73
693.889256,C,1
737.250024,A,26
737.250024,B,74
737.250024,C,1
771.899893,A,25
771.899893,B,75
771.899893,C,1
789.970370,A,24
789.970370,B,76
789.970370,C,1
808.753630,A,23
808.753630,B,77
808.753630,C,1
825.927792,A,22
825.927792,B,78
825.927792,C,1
863.043981,A,21
863.043981,B,79
863.043981,C,1
874.575187,A,20
874.575187,B,80
874.575187,C,1
918.195203,A,19
918.195203,B,81
918.195203,C,1
952.828190,A,18
952.828190,B,82
952.828190,C,1
956.347577,A,17
956.347577,B,83
956.347577,C,1
998.883209,A,16
998.883209,B,84
998.883209,C,1
1060.185953,A,15
1060.185953,B,85
1060.185953,C,1
1208.034547,A,14
1208.034547,B,86
1208.034547,C,1
1231.198546,A,13
1231.198546,B,87
1231.198546,C,1
1342.860179,A,12
1342.860179,B,88
1342.860179,C,1
1346.866373,A,11
1346.866373,B,89
1346.866373,C,1
1480.176343,A,10
1480.176343,B,90
1480.176343,C,1
1484.422268,A,9
1484.422268,B,91
1484.422268,C,1
1559.395232,A,8
1559.395232,B,92
1559.395232,C,1
1597.310793,A,7
1597.310793,B,93
1597.310793,C,1
1652.837492,A,6
1652.837492,B,94
1652.837492,C,1
1743.344421,A,5
1743.344421,B,95
1743.344421,C,1
1781.126329,A,4
1781.126329,B,96
1781.126329,C,1
1838.422930,A,3
1838.422930,B,97
1838.422930,C,1
2225.775324,A,2
2225.775324,B,98
2225.775324,C,1
